E_38_0	E_38_1	E_38_2	E_51_0	E_51_1	E_51_2	C_38_0	C_38_1	C_38_2	C_51_0	C_51_1	C_51_2
E_38_0	1	0.644624342061133	0.627469631834788	-0.257333705491885	-0.305932888501046	-0.392610997842766	0.0309945539086911	-0.103059949992362	0.129707728402512	-0.470283422802931	-0.500828603029734	-0.456331096547198
E_38_1	0.644624342061133	1	0.724033796682608	-0.409336519289495	-0.438891285139535	-0.459238738876268	0.125874274492306	0.0232028983117269	0.157563915318919	-0.485842151732524	-0.432589986132039	-0.465207334130992
E_38_2	0.627469631834788	0.724033796682608	1	-0.406117987698696	-0.420399982860837	-0.442018935673847	0.127678449937447	0.0402130925890061	0.154937164390324	-0.479274436413454	-0.461670162656912	-0.47691521795954
E_51_0	-0.257333705491885	-0.409336519289495	-0.406117987698696	1	0.541845321536172	0.489656690907223	-0.33030033933853	-0.266734933748929	-0.303525844821679	0.0387320803881239	-0.0644071821059183	0.00905148575016638
E_51_1	-0.305932888501046	-0.438891285139535	-0.420399982860837	0.541845321536172	1	0.54069127395572	-0.407038244277994	-0.32670071165217	-0.37395257705825	0.1040055656296	0.0200820129534365	0.0867126490981898
E_51_2	-0.392610997842766	-0.459238738876268	-0.442018935673847	0.489656690907223	0.54069127395572	1	-0.417889850011775	-0.328317970608303	-0.436151795067377	0.178150280209203	0.141380351868596	0.158452696402928
C_38_0	0.0309945539086911	0.125874274492306	0.127678449937447	-0.33030033933853	-0.407038244277994	-0.417889850011775	1	0.637964910202717	0.651078301787291	-0.450146311242426	-0.39193744367701	-0.398883199967436
C_38_1	-0.103059949992362	0.0232028983117269	0.0402130925890061	-0.266734933748929	-0.32670071165217	-0.328317970608303	0.637964910202717	1	0.577861918017084	-0.379587315864978	-0.304261503379737	-0.360747347575398
C_38_2	0.129707728402512	0.157563915318919	0.154937164390324	-0.303525844821679	-0.37395257705825	-0.436151795067377	0.651078301787291	0.577861918017084	1	-0.472682866926692	-0.447010818469624	-0.456275671976825
C_51_0	-0.470283422802931	-0.485842151732524	-0.479274436413454	0.0387320803881239	0.1040055656296	0.178150280209203	-0.450146311242426	-0.379587315864978	-0.472682866926692	1	0.676743679570166	0.582537372839035
C_51_1	-0.500828603029734	-0.432589986132039	-0.461670162656912	-0.0644071821059183	0.0200820129534365	0.141380351868596	-0.39193744367701	-0.304261503379737	-0.447010818469624	0.676743679570166	1	0.601190533936336
C_51_2	-0.456331096547198	-0.465207334130992	-0.47691521795954	0.00905148575016638	0.0867126490981898	0.158452696402928	-0.398883199967436	-0.360747347575398	-0.456275671976825	0.582537372839035	0.601190533936336	1
