E_38_0	E_38_1	E_38_2	E_51_0	E_51_1	E_51_2	C_38_0	C_38_1	C_38_2	C_51_0	C_51_1	C_51_2
XLOC_000017	0.00319699315338662	0.753591544459588	0.681464431608163	-0.313687655622546	-1.94024515947237	-1.33189206984944	1.61990476538124	0.086420627147564	0.393196077317335	-0.739496792232292	0.570812187038323	0.216735051071053
XLOC_000022	-0.240425411924739	-0.391574264134387	-0.319385125070461	-0.185037013720773	0.0252357892323323	-0.0740453853440135	-0.907956258055822	-0.491810722081889	-0.18203467603091	0.918879739389864	0.458528007647424	1.38962532009337
XLOC_000028	1.01745147453121	-0.0352897756388952	1.27000435555093	-1.48371567224779	-1.48371567224779	-1.48371567224779	2.26053634713533	-1.48371567224779	0.757229943544435	0.0958217149107143	2.05282430120522	-1.48371567224779
XLOC_000033	-0.624843078276016	-0.271266939165754	-0.375180455059935	0.351142544878506	0.0110722906205396	0.35210029505714	-0.326610319564352	-0.0622282055854519	-0.293945187540542	0.292402426964486	0.323987647187909	0.623368980483463
XLOC_000040	0.761691663746692	1.65307406824175	1.25969363247691	0.997975868104565	0.351562038397514	-0.963241730045299	0.19333868068781	-0.958282203079037	-0.800080835438286	-2.09125313797054	-0.327212842215303	-0.0772652029067746
XLOC_000043	0.867814535247446	-0.0823283973986704	-0.187592622585868	0.753440544973594	-1.62813432641008	0.602717703134494	-2.23951678874459	-0.513331238100101	0.956047902323703	0.309214956698436	0.632821846728289	0.528845884133343
XLOC_000059	0.355071636922353	1.12376300576891	0.96816931146569	-2.14609550985664	-2.14609550985664	-2.14609550985664	0.701986006542507	-2.14609550985664	-0.628298778656186	2.48994144178158	1.39044446359636	2.18330495200533
XLOC_000072	0.231054583879835	0.268187640401545	0.343624868793804	-0.567694925177931	-0.44950456639511	-0.230852951999019	0.243461106759431	0.168502952102197	0.24922643580474	-0.0947865352496873	-0.141272131769881	-0.0199464771499205
XLOC_000077	0.368724513173219	0.336836257709909	0.298872154086689	-0.255592366267013	-0.948987900618317	-0.244811511066678	-0.458721281702382	-0.187718484157397	0.393673721643006	0.352953979798515	0.0372790651423331	0.307491852258119
XLOC_000093	-1.26064582756465	-0.341761752091438	-0.197602402034458	-0.2827548502122	0.495062221929153	0.0494467285065916	0.666738467366124	0.746057731575399	-0.236007038344502	0.0587666447854502	-0.206180822874034	0.508880898958567
XLOC_000104	0.390972840486438	0.108142627711753	0.351803024707963	-1.12440671430627	-1.33569936855816	-0.369746538126241	0.680958543133614	0.0438359676743802	0.699817664630761	-0.373995875303265	0.47087785939916	0.45743996854987
XLOC_000134	-0.733854987571253	-0.733854987571253	3.45467409708832	-0.733854987571253	-0.733854987571253	-0.733854987571253	0.616701984623879	1.06483045222013	-0.733854987571253	-0.733854987571253	0.734633366637692	-0.733854987571253
XLOC_000140	0.718800614630997	0.457063937641804	-0.26363162117782	0.309165410521674	0.204499627768921	0.402681074024001	-0.0466299083023367	-0.079130587397013	0.133548699956033	-0.390655791705236	0.0994344640093487	-1.54514591997037
XLOC_000142	1.32704710023449	1.16942574050357	0.958059893455385	-0.167148611874744	0.156992368253674	-0.0277842023877728	-1.09123341315634	-0.98278144608765	-1.0102773137315	-0.152082619902959	-0.0659364341324906	-0.114281061173656
XLOC_000143	1.34603722474798	0.79284825269681	1.08635058344108	-0.106007990787766	-0.197210861822397	0.245317255639213	-1.27509047360764	-0.78837019571221	-1.38498428850174	-0.298339626760589	0.0281073810444052	0.551342739622855
XLOC_000161	-1.74829172003999	-1.74829172003999	-1.74829172003999	0.161422397977797	1.52783807456914	0.0465001943396626	1.38107982133795	0.0503937197513966	-0.230494988839535	-1.74829172003999	2.60506729773879	1.45136036328476
