C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105323237-XLOC_031436-ankyrin_repeat_domain-containing_protein_17	-0.0165776829477764	-0.148382930236748	-0.9452243929848	1.11018500616932
LOC105334969-XLOC_035132-ankyrin-3-like	2.10507261815585	1.45293497637935	-0.751489287472419	-2.80651830706278
LOC105341397-XLOC_019388-beta-1,3-glucan-binding_protein-like	0.916777804534318	-1.40817860993837	0.397063911326802	0.0943368940772515
LOC105325572-XLOC_031539-nuclear_factor_NF-kappa-B_p105_subunit	0.462864142956557	-0.0755430157869625	0.0785211461903916	-0.465842273359991
LOC105322522-XLOC_038984-peptidoglycan_recognition_protein	0.460250220072237	-0.339991028655433	1.378241458809	-1.4985006502258
LOC105324668-XLOC_000251-peptidoglycan-recognition_protein_SC2	1.31243724135013	0.711813512878182	1.6157760411872	-3.64002679541551
LOC105319044-XLOC_023736-p65_homolog	0.63062549416907	-0.761518042515965	0.0248058306194583	0.10608671772744
LOC105330678-XLOC_035266-stimulator_of_interferon_genes_protein	0.738934388159571	-0.195440492974532	-0.65920432151974	0.115710426334708
LOC105344170-XLOC_033383-toll-like_receptor_6	0.698175911251475	-1.1064416451866	0.506354064241854	-0.0980883303067284
LOC105325877-XLOC_026229-tyrosine-protein_kinase_SRK2	0.419530429034882	-0.0343317438190063	0.0291407162382136	-0.414339401454086
LOC105326034-XLOC_010648	-0.92498502313803	0.686443097883656	-0.126639323705596	0.365181248959971
LOC117692804-XLOC_008474	0.0155157320563246	0.526698738147926	-0.761955505602441	0.219741035398191
