E_38_0	E_38_1	E_38_2	E_51_1	E_51_2	E_51_0	C_38_0	C_38_2	C_38_1	C_51_2	C_51_0	C_51_1
XLOC_000004	-1.39141386195673	0.786105815671214	-0.229616718942114	0.747764132723629	0.139712876752033	1.12156732615077	-0.293577905950894	0.892693618882471	0.12989348395881	0.0019479069936299	-1.56891173363956	-0.33616494064326
XLOC_000024	1.31173648988415	1.3273516536955	1.17305433038946	-0.6844833313823	-0.901243890216304	-0.264268908727829	0.294411327836901	1.0474759523184	0.125082418870736	-2.67462780006792	-0.44351087772896	-0.310977364871845
XLOC_000029	-1.33771705824979	-0.906861010188994	-0.931895867418339	0.539228653336957	0.652231963555321	0.410368877734705	-0.0968028073249272	0.0884818343972711	-0.621742929383943	0.882379883345425	0.56090326608825	0.761425194108076
XLOC_000030	-0.804853083166673	-1.46543565323753	-0.722855803576675	0.811798928093685	0.7031691083917	1.01671083289449	-0.375217611932455	0.227702472567866	0.0108268431221701	0.237696873443008	0.30086669194999	0.0595904014504356
XLOC_000032	0.381821312716385	0.620144731320078	0.921614231098723	-3.38306235904736	-3.38306235904736	-3.38306235904736	0.646283041735669	0.543248944372348	0.188277933808505	0.604262670264155	3.27211604181826	2.97141817000795
XLOC_000033	0.55741130781974	-2.91183355629929	0.602096677358916	-2.91183355629929	-2.91183355629929	-2.91183355629929	1.90840653199667	1.19521208934745	1.41388762266254	1.07549147301222	2.24637438402959	2.64845413897003
XLOC_000102	-1.07193836085788	-1.07193836085788	-1.07193836085788	-1.07193836085788	-1.07193836085788	-1.07193836085788	0.362728205435538	1.26665200969807	-1.07193836085788	1.72383025806413	2.94465682107696	1.20570123173048
XLOC_000106	2.69180882462973	2.62736145188384	2.8608805133496	-0.562578099866573	0.0323925604485442	-1.30983800798223	0.904337001325861	0.579858154414471	0.913043825103728	-1.85406479138042	-2.23336802162411	-4.64983341030243
XLOC_000145	-1.16644367550497	-1.4715206213704	-1.23086541466493	1.50765043100972	0.949795587472313	0.895856729908828	-0.242592913735272	-1.01331199464259	-0.31511179693655	1.24339304079636	0.0223846847960392	0.820765942871477
XLOC_000154	1.38145567651643	1.56299044124649	1.41997264417352	-0.374123333643775	-0.82149940071039	-0.291206996084385	-0.421721231570507	0.116763928702634	-0.662954543669347	-0.679845712351558	-0.551371557028316	-0.678459915580817
XLOC_000155	0.392277717552123	1.06034624323977	1.01832520437829	0.0312480091323586	-0.190370534513363	0.0514262294742753	-0.848186962011019	-0.597845641481695	-0.817496092714438	0.125991150301726	0.00680835647770284	-0.232523679835725
XLOC_000157	2.84075404698641	3.61455643873409	3.82621599951318	-1.72416921467585	-1.72416921467585	1.61582618764435	-1.72416921467585	-1.72416921467585	0.171831829852902	-1.72416921467585	-1.72416921467585	-1.72416921467585
XLOC_000158	3.90049639752423	2.88318250779561	3.30092988394243	-1.27991948395063	-1.27991948395063	-1.27991948395063	0.154747082342787	-1.27991948395063	-1.27991948395063	-1.27991948395063	-1.27991948395063	-1.27991948395063
XLOC_000163	-0.110701213559651	-0.689940497296118	-2.1433071379368	0.219842172358149	0.682052799567175	-1.17330368036316	-0.642877283389337	-0.793650656673031	-0.398028476406671	1.6026516320965	1.27414572579262	2.17311661581033
XLOC_000165	-1.01771818705514	-0.193875772637472	-0.087181244446251	-0.212855904819403	-0.364706197453183	0.0353544734342588	0.268262245189579	-0.0837976853176627	0.219153073737147	0.496164405251116	0.574655675866351	0.366545118250677
XLOC_000172	1.21386670939611	-1.38009655096505	-1.38009655096505	0.690122934583983	0.523534221313025	-1.38009655096505	-1.38009655096505	-1.38009655096505	-1.38009655096505	1.92966347586396	1.89449330545407	2.02889865917913
XLOC_000175	2.91073453443623	2.72996804858981	2.84848261418457	-0.797348530133695	-1.76468617141772	-1.32675578860468	2.01643160369376	2.14271309242607	1.32269922555492	-3.35570633078765	-2.92910802575034	-3.79742427219128
XLOC_000183	-0.737988883989007	-0.737988883989007	-0.737988883989007	-0.737988883989007	3.94423708676197	-0.737988883989007	-0.737988883989007	-0.737988883989007	1.15801216053974	-0.737988883989007	-0.737988883989007	1.53965070859935
XLOC_000188	-0.046970780756622	0.215194988798793	0.29242483799782	0.582231552424271	1.7362454883763	1.35573718506264	-0.951045681584199	-1.40388223860082	-0.614186114072403	0.28952367040443	-0.366955471305013	-1.08831743674519
