# Modified from files "genes.fpkm_tracking" and "0_XLOC-LOC_ID_Conversion.txt"
gene_ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
XLOC_000869	2750.71	2217.4	5395.82	2597.58
XLOC_000870	1476.13	1321.96	2866.33	1129.93
XLOC_000896	12.217	0	4.58149	13.5795
XLOC_000904	98.5211	450.696	199.108	270.694
XLOC_000923	0	0	0	169.323
XLOC_000925	456.991	0	323.763	501.016
XLOC_000927	45.519	171.626	113.407	221.716
XLOC_000929	38.2125	396.02	1118.27	695.828
XLOC_000931	680.61	1872.03	920.222	1062.19
XLOC_000939	47.1301	130.66	70.1284	57.6263
XLOC_000945	29.2931	0	2.12912	0
XLOC_000969	20.6797	0	12.7675	39.274
XLOC_000972	353.095	978.019	1499.16	625.902
XLOC_000975	0	3.97589	16.9075	10.0887
XLOC_000980	22.2616	31.134	86.8023	68.9307
XLOC_000993	306.2	41.2405	911.784	58.8312
XLOC_000997	198.963	86.6112	264.385	181.82
XLOC_000998	338.101	0	83.7712	178.875
XLOC_001000	8885.55	4253.38	9177.04	5443.7
XLOC_001001	25.8874	24.4055	21.549	0
XLOC_001005	82.6105	371.017	916.038	187.784
XLOC_001017	3672.09	4749.95	7047.72	5629.1
XLOC_001019	182.628	67.2869	157.473	150.369
XLOC_001020	412.191	149.184	404.112	218.586
XLOC_001042	50.1748	37.6685	0	220.492
XLOC_001048	209.136	98.5031	280.232	79.7526
XLOC_001049	299.306	29.2331	326.183	98.0375
XLOC_001052	411.338	188.356	689.334	151.093
XLOC_001054	206.191	921.882	334.945	621.199
XLOC_001055	277.059	212.801	228.081	167.865
XLOC_001091	55.2912	66.1481	36.289	84.0586
XLOC_001105	137.486	333.31	118.594	69.8244
XLOC_001107	583.588	918.307	517.241	318.381
XLOC_001123	295.624	359.836	840.778	350.522
XLOC_001131	7.02496	0	10.5532	0
XLOC_001134	615.991	590.221	429.102	1396.48
XLOC_001143	320.494	471.565	314.691	18.4058
XLOC_001166	95.7127	267.741	132.437	119.065
XLOC_001172	205.244	54.4294	143.496	157.963
XLOC_001174	86.3897	100.08	168.874	28.7176
XLOC_001191	15.6989	34.1437	42.8573	31.5365
XLOC_001196	38.3007	111.018	52.6901	31.4888
XLOC_001228	0	344.482	0	0
XLOC_001229	157.454	0	40.9944	320.133
XLOC_001270	15.2637	0	0	183.949
XLOC_001278	501.791	239.815	1476.35	752.533
XLOC_001279	286.725	0	0	0
XLOC_001280	3042.59	2597.93	9778.93	2108.92
XLOC_001281	8604.71	3971.07	36530.2	299.077
XLOC_001283	407.868	215.748	872.349	79.8715
XLOC_001285	13.8048	14.6907	63.2949	0
XLOC_001296	15713.6	42868.6	9750.63	25835.7
XLOC_001297	31372.5	17142.4	16640.6	12439.4
XLOC_001324	3016.73	1058.69	6098.39	1826.24
XLOC_001328	34.3838	198.443	0	115.756
XLOC_001356	166.259	556.781	554.168	149.547
XLOC_001365	604.617	1102.24	162.619	1289.78
XLOC_001367	0	125.747	37.552	337.519
XLOC_001385	3661.17	2786.93	3425.53	1388.36
XLOC_001389	1444.34	963.09	1382.61	516.996
XLOC_001390	995.252	626.763	950.016	404.894
XLOC_001397	582.523	289.837	544.762	410.74
XLOC_001399	319.218	216.509	476.813	101.786
XLOC_001400	5479.56	2584.95	5467.77	1505.42
XLOC_001402	4073.29	1199.64	4465.98	588.78
