C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105335651-XLOC_025331-1-phosphatidylinositol_4,5-bisphosphate_phosphodiesterase_beta-1	-0.379107533656383	0.0233244657547136	-0.149270533392489	0.505053601294154
LOC105343409-XLOC_024747-1-phosphatidylinositol_4,5-bisphosphate_phosphodiesterase_beta-4	-2.77492952363588	4.42540022627764	1.12445882099411	-2.77492952363588
LOC105343409-XLOC_024752-1-phosphatidylinositol_4,5-bisphosphate_phosphodiesterase_beta-4	1.29667253372814	0.37943984397398	-2.27214668376733	0.596034306065209
LOC105342681-XLOC_020239-1-phosphatidylinositol_4,5-bisphosphate_phosphodiesterase_eta-2	0.625982436031446	-0.0475699703360171	0.0738866385987524	-0.652299104294187
LOC105337196-XLOC_031453-EF-hand_calcium-binding_domain-containing_protein_6	-0.463302572309097	-0.507994057363281	0.751771632456341	0.219524997216032
LOC105318104-XLOC_012379-EF-hand_domain-containing_protein_D2	0.170750094662985	-0.695791360817303	0.396340827415401	0.128700438738917
LOC105320897-XLOC_007183-FK506-binding_protein_2	0.0549331529425174	0.616164242775701	0.041938106028466	-0.71303550174669
LOC105321540-XLOC_023383-IgGFc-binding_protein	0.616131209574927	-0.298964121993437	0.390456140985602	-0.707623228567094
LOC105321540-XLOC_023386-IgGFc-binding_protein	0.0181598285323723	-0.753610690166884	0.336171160412771	0.399279701221737
LOC105321540-XLOC_023389-IgGFc-binding_protein	0.45462111791487	-0.204710347399066	-0.381217020266178	0.131306249750377
LOC105332443-XLOC_016404-IgGFc-binding_protein	-0.0655535095073803	-2.14766677583956	4.36088706118649	-2.14766677583956
LOC117688268-XLOC_000473-NADPH_oxidase_5-like	0.942991266302778	0.953769419350149	3.66297485270349	-5.55973553835642
LOC105347203-XLOC_031188-SPARC	0.492090346342819	-0.614661704079967	0.438274114494606	-0.315702756757457
LOC105317894-XLOC_003720-annexin_A7	0.0569766002676371	-0.501082221642295	0.371492613077586	0.0726130082970702
LOC105348537-XLOC_026129-annexin_A7	-0.064644930550056	-0.368504228840559	0.0879987383585767	0.345150421032038
LOC105349178-XLOC_031598-annexin_A7	0.896232340348707	-0.723602255742421	-0.0938496860901434	-0.0787803985161446
LOC105349178-XLOC_031599-annexin_A7	0.885117871953918	-0.260861392062194	-0.504448127194353	-0.119808352697376
LOC105338532-XLOC_029521-annexin_B9	0.133853688726806	0.13045850636369	0.282239521123207	-0.546551716213701
LOC105328642-XLOC_009018-basement_membrane-specific_heparan_sulfate_proteoglycan_core_protein	-0.376281235783003	0.365727258124624	0.0233483220525521	-0.0127943443941767
LOC105323962-XLOC_026496-cadherin-23	-0.226993952592709	0.196386664482635	-0.492505692422236	0.523112980532311
LOC105328347-XLOC_026681-cadherin-23	0.264415776127209	-2.09292907278824	-0.212705386204679	2.04121868286571
LOC105335506-XLOC_028547-cadherin-87A	-0.920706652144355	0.790896134211525	0.862063269088371	-0.73225275115554
LOC105341103-XLOC_027068-calcium_uptake_protein_1,_mitochondrial	-0.461732549546713	-0.177822279136624	0.183190571798473	0.456364256884866
LOC105332764-XLOC_005648-calcium-binding_mitochondrial_carrier_protein_SCaMC-2	-0.0680148760218442	0.0708884407162147	0.401007150703397	-0.403880715397767
LOC105328203-XLOC_004109-calcium-dependent_protein_kinase_22	0.720068343736316	-1.00686784389861	1.12345239655722	-0.836652896394918
LOC105322085-XLOC_021665-calmodulin	-0.130154053120165	-0.126895217844579	0.518230040837333	-0.261180769872592
LOC105327998-XLOC_022523-calmodulin-A	-0.557224630987029	-0.0662499910659253	0.64760202520366	-0.0241274031507039
LOC105328000-XLOC_022522-calmodulin-A	-0.683950931881248	-0.0726447394078216	0.953222770235561	-0.196627098946491
LOC105328371-XLOC_008787-calmodulin-beta	0.248657510027734	-0.0570645323533476	0.471821240090151	-0.663414217764538
LOC105344505-XLOC_004347-calnexin-like	-0.419110645349747	0.282000625983762	-0.119580046880489	0.256690066246476
LOC105344505-XLOC_004348-calnexin-like	-0.371122790316567	-0.201639280477474	-0.0217304008415251	0.59449247163557
LOC105337008-XLOC_023318-calpain-B	0.00599334751017011	-0.278482470448756	0.49075472624877	-0.218265603310183
Crt-XLOC_028111-calreticulin(Crt)	-0.516237830869438	0.301543891027373	-0.130046303904052	0.344740243746124
LOC105342224-XLOC_038897-caltractin	0.200106597601257	-0.776791788430355	0.805401729894038	-0.228716539064937
LOC105333628-XLOC_018392-calumenin	-0.45034545394584	0.356193832245904	0.17432645754066	-0.0801748358407295
LOC105336998-XLOC_023306-centrin-3	-0.22982209079594	-0.617500903750852	0.645480208275538	0.201842786271252
LOC105338470-XLOC_033691-cohesin_subunit_SA-1	1.79510160291793	-0.800796723308506	-0.158760202729663	-0.835544676879755
LOC105318345-XLOC_018982-cysteine-rich_secretory_protein_LCCL_domain-containing_2	0.945724639259492	-0.791152975810724	3.15751391434457	-3.31208557779334
LOC105325327-XLOC_022470-dual_oxidase_2	0.167123420126051	-1.26783759090947	0.133932063858785	0.966782106924635
LOC105331097-XLOC_017516-dual_oxidase	0.0626754096808853	-0.526717297743578	0.436317090400737	0.027724797661957
LOC105321018-XLOC_027640-eukaryotic_elongation_factor_2_kinase	1.20535465812875	-0.674159889794046	0.0552770438725902	-0.586471812207292
LOC105321018-XLOC_027641-eukaryotic_elongation_factor_2_kinase	1.03351325230264	-0.580092443488864	-0.211608428695618	-0.241812380118152
LOC105321018-XLOC_027642-eukaryotic_elongation_factor_2_kinase	1.2303257370611	-0.549494353199339	0.0115176797894714	-0.692349063651228
LOC105342898-XLOC_018820-extended_synaptotagmin-2	0.0483216520604959	-0.56845424001075	0.505502190735934	0.0146303972143205
LOC105321203-XLOC_019002-fibrillin-1	0.222316723843543	0.349288241835678	-1.31579387005885	0.74418890437963
LOC105321203-XLOC_019003-fibrillin-1	0.146573550822474	0.856839121976662	-1.27312153983606	0.26970886703692
LOC105338038-XLOC_024917-fibrillin-1	0.800456854118945	-0.309547086636645	0.13294896510504	-0.623858732587337
LOC109617191-XLOC_034280-fibrillin-2-like	0.949103610745541	-2.42894549853473	-0.185168999547169	1.66501088733636
LOC109617191-XLOC_034281-fibrillin-2-like	0.696401742773716	-0.66587071158525	0.375569736101726	-0.406100767290193
LOC109617191-XLOC_034284-fibrillin-2-like	0.929473545053657	0.0992663979581749	0.639105356372271	-1.6678452993841
LOC105334160-XLOC_000824-fibropellin-1	0.711699747714954	0.00782579875462908	0.197714503724191	-0.917240050193776
LOC105326084-XLOC_032623-fibropellin-1-like	0.393497336358202	-1.01943949756621	0.68184002704354	-0.0558978658355267
LOC105340356-XLOC_021470-follistatin-A	0.901505692190375	1.51724175799511	-2.98789328562631	0.569145835440825
LOC105340356-XLOC_021471-follistatin-A	2.77665343379437	2.86654827040213	-5.83095799313769	0.187756288941183
LOC105331442-XLOC_016786-hemicentin-1	-5.07192108996575	3.91420537421352	0.658487907581043	0.49922780817119
LOC105330710-XLOC_017744-latent-transforming_growth_factor_beta-binding_protein_1	0.188898292412594	0.64987779514791	-1.42729068394324	0.588514596382737
LOC105327452-XLOC_026148-leucine-rich_repeat-containing_protein_74A	1.19396834514629	-0.294368312654989	-0.893322817372706	-0.00627721511859747
LOC105348746-XLOC_005423-leucine-rich_repeat-containing_protein_74A	0.167103359370447	-0.20043380206313	0.829580065412199	-0.796249622719515
LOC105320898-XLOC_004394-low-density_lipoprotein_receptor-related_protein_2-like	0.851676997890904	0.101991188043118	0.24062092701664	-1.19428911295066
LOC105336972-XLOC_019927-low-density_lipoprotein_receptor-related_protein_4	0.755186344057388	1.9018934292671	-2.99014780999387	0.333068036669378
