ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105325327|XLOC_022470|dual_oxidase_2	88.1584	157.809	90.2334	32.7433
LOC105326271|XLOC_023544|type_I_iodothyronine_deiodinase	386.504	1789.82	167.309	701.723
LOC105331097|XLOC_017516|dual_oxidase	365.576	275.163	281.935	187.045
LOC105336545|XLOC_018561|steroid_17-alpha-hydroxylase/17,20_lyase-like	63618.3	24270.8	107095	40050.2
LOC105338550|XLOC_016251|cytochrome_P450_1A2	203.601	313.414	641.274	375.338
LOC105346187|XLOC_018561|steroid_17-alpha-hydroxylase/17,20_lyase	63618.3	24270.8	107095	40050.2
LOC105348415|XLOC_032568|steroid_17-alpha-hydroxylase/17,20_lyase-like	347.349	100.319	293.217	219.871
LOC117681976|XLOC_013996|steroid_17-alpha-hydroxylase/17,20_lyase-like	510.943	78.2847	785.049	57.6422
