C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105317044|XLOC_000165|cytoplasmic_aconitate_hydratase	0.866781039573016	0.861730069479642	-0.942475084479264	-0.78603602457339
LOC105324620|XLOC_000255|zinc_finger_protein_271	-0.101232186693957	1.42452834928868	-0.45559631658633	-0.867699846008394
LOC105324387|XLOC_000395|uncharacterized	0.324896597595953	-1.04349581185318	-0.520292990654549	1.23889220491179
LOC105337260|XLOC_000650|E3_ubiquitin-protein_ligase_arkadia-A	0.590743855435583	0.704091022160733	0.1640561743458	-1.45889105194212
LOC105338241|XLOC_000975|uncharacterized	0.918084923631444	0.539166006812125	-1.36290850652101	-0.0943424239225595
LOC105348751|XLOC_002490|alpha-amylase	0.60768116383221	0.231516700599126	0.635151534158764	-1.4743493985901
LOC105317854|XLOC_003466|baculoviral_IAP_repeat-containing_protein_3	1.02481037729647	-1.21691428394046	-0.378516988273008	0.570620894917004
LOC105330610|XLOC_004077|rho_guanine_nucleotide_exchange_factor_11	0.308017759658761	-0.986098384043701	-0.583683473709376	1.26176409809431
LOC105319247|XLOC_006583|titin_homolog	-0.121409857225172	-1.36277129095971	0.626511132168592	0.857670016016298
LOC105332143|XLOC_007721|succinate_dehydrogenase_cytochrome_b560_subunit,_mitochondrial	0.519388337130993	0.453795759894456	0.526018814603636	-1.49920291162908
LOC105330040|XLOC_007949|calcium/calmodulin-dependent_3,5-cyclic_nucleotide_phosphodiesterase_1A	-0.378226869492073	-0.623157981497674	-0.491081932762611	1.49246678375236
LOC105325385|XLOC_008020|acid_phosphatase_type_7	-0.5	-0.5	-0.5	1.5
LOC105345699|XLOC_008071|chromodomain-helicase-DNA-binding_protein_4	-0.475032206306706	0.245575084856443	-1.04451947040906	1.27397659185933
LOC105331789|XLOC_009005|acid_phosphatase_type_7	1.36853798113541	-0.398254134707405	-0.984026713049647	0.0137428666216397
LOC105333266|XLOC_010098|zinc_finger_MYND_domain-containing_protein_12	-1.310486825569	0.189870099043202	1.1164930005978	0.00412372592800227
LOC105331820|XLOC_010502|MOG_interacting_and_ectopic_P-granules_protein_1	0.55757465748637	1.12659090252637	-0.871208566753442	-0.812956993259294
LOC105333759|XLOC_010874|rabankyrin-5	-0.107561193025429	0.836609311181325	0.641149812240764	-1.37019793039666
LOC105324972|XLOC_010880|E3_ubiquitin-protein_ligase_RNF34	1.21506860129494	0.284550723245351	-1.14868941907685	-0.350929905463447
LOC105332659|XLOC_011601|uncharacterized	-0.522323684786042	-0.974973910063148	0.176087098025691	1.3212104968235
LOC105318648|XLOC_011692|protein_phosphatase_PTC7_homolog	-0.621665734517357	-0.815763492749812	0.0423418441038383	1.39508738316333
LOC105336033|XLOC_012694|putative_ATP-dependent_RNA_helicase_TDRD12	0.887646254509463	0.795675171689827	-0.556880415272639	-1.12644101092665
LOC105318424|XLOC_013157|NADH_dehydrogenase_[ubiquinone]_flavoprotein_2,_mitochondrial	0.655405389724935	1.0522737722665	-0.904236124377474	-0.803443037613957
LOC105348843|XLOC_013517|NF-kappa-B_essential_modulator	0.912501279133047	-0.140384560465451	-1.34771096738425	0.575594248716651
LOC105342266|XLOC_014314|lysine-specific_demethylase_5A-like	0.250928177401353	-0.945281552954026	-0.60214268165636	1.29649605720902
LOC105322369|XLOC_014511|forkhead_box_protein_P1	0.737746025615157	0.695266803014623	-0.0289120604964112	-1.40410076813337
LOC105321380|XLOC_014623|acid_phosphatase_type_7	1.43878836946194	-0.194196520200784	-0.379735309712072	-0.864856539549089
LOC109619667|XLOC_014813|uncharacterized_shell_protein_6-like	-0.543326020207391	0.288611743468501	1.26513137254562	-1.01041709580673
LOC105335006|XLOC_014816|metalloproteinase_inhibitor_3-like	1.46399293047958	-0.650913245236038	-0.180169173801548	-0.632910511441993
LOC105331958|XLOC_014859|RNA-binding_protein_5	0.615892489493553	-0.955257780355799	-0.738770604366071	1.0781358952283
LOC105318594|XLOC_015443|N-fatty-acyl-amino_acid_synthase/hydrolase_PM20D1.2	-0.581075377181901	0.462771486349138	1.16395872765525	-1.0456548368225
LOC105345337|XLOC_016777|membrane_progestin_receptor_gamma-B	0.270085324059808	1.09906098227688	-0.0593379690630307	-1.30980833727365
LOC105325140|XLOC_016829|myoneurin	-0.0240536452283699	1.11767638969927	0.21220626802333	-1.30582901249423
LOC105337075|XLOC_017200|arf-GAP_with_SH3_domain,_ANK_repeat_and_PH_domain-containing_protein_2	-0.61202017640696	1.10425216472585	0.555417628094446	-1.04764961641334
LOC117686524|XLOC_017318|angiotensin-converting_enzyme-like	1.23034042559223	-0.879907764036432	0.395144624582567	-0.745577286138363
LOC105345059|XLOC_018599|cysteine--tRNA_ligase,_cytoplasmic	0.25100814677484	-0.822736411085363	-0.738016501517749	1.30974476582827
LOC105345059|XLOC_018608|cysteine--tRNA_ligase,_cytoplasmic	0.304847327628187	-0.800183628602756	-0.787729174654734	1.2830654756293
LOC105326419|XLOC_019084|LIM_and_SH3_domain_protein_1	0.217902740277334	1.29916343610927	-0.519840953542569	-0.997225222844033
