ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105317715|XLOC_015065|interferon-induced_protein_44	20.0054	0	49.1708	56.122
LOC105322450|XLOC_036612|uncharacterized	0	419.834	245.861	144.924
LOC105322734|XLOC_015064|interferon-induced_protein_44	837202	591215	471453	64473
LOC105330701|XLOC_001017|cathepsin_L1	3672.09	4749.95	7047.72	5629.1
LOC105331753|XLOC_002036|cathepsin_L1	7656.6	3484	7640.05	5815.56
LOC105334969|XLOC_035132|ankyrin-3-like	3.15552	0	29.0979	18.1524
LOC105341397|XLOC_019388|beta-1,3-glucan-binding_protein-like	976.972	791.86	1401.09	278.83
LOC105344170|XLOC_033383|toll-like_receptor_6	178.023	116.748	203.481	57.5341
LOC105346253|XLOC_034635|tumor_necrosis_factor_ligand_superfamily_member_10	2140.26	1771.81	5313.49	2629.59
