C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105325327|XLOC_022470|dual_oxidase_2	0.179936878896567	-1.36504350427922	0.144200720262599	1.04090590512006
LOC105326271|XLOC_023544|type_I_iodothyronine_deiodinase	-1.16168892533442	0.273353142168411	-0.324332813880372	1.21266859704639
LOC105331097|XLOC_017516|dual_oxidase	0.15792708992243	-1.32720201539933	1.0994150452506	0.0698598802263021
LOC105336545|XLOC_018561|steroid_17-alpha-hydroxylase/17,20_lyase-like	1.17705999386834	-0.372354768392191	0.356629089062426	-1.16133431453857
LOC105338550|XLOC_016251|cytochrome_P450_1A2	1.26277047863193	0.134402776048517	-1.15207315431152	-0.245100100368927
LOC105346187|XLOC_018561|steroid_17-alpha-hydroxylase/17,20_lyase	1.17705999386834	-0.372354768392191	0.356629089062426	-1.16133431453857
LOC105348415|XLOC_032568|steroid_17-alpha-hydroxylase/17,20_lyase-like	0.541338240408743	0.0168909131853265	0.850234287053669	-1.40846344064774
LOC117681976|XLOC_013996|steroid_17-alpha-hydroxylase/17,20_lyase-like	1.01855340603373	-0.969825640330066	0.690058957222669	-0.738786722926333
