E_38_0	E_38_1	E_38_2	E_51_1	E_51_2	E_51_0	C_38_0	C_38_2	C_38_1	C_51_2	C_51_0	C_51_1
E_38_0	1	0.649428663225339	0.61876628864763	-0.29716650810189	-0.378859414158434	-0.260860338321667	0.0321137278631671	0.116968149839376	-0.0743152195819387	-0.466417725889385	-0.45639557772794	-0.50955587430612
E_38_1	0.649428663225339	1	0.740955266520546	-0.438575480374708	-0.465798965741939	-0.410234706608293	0.101490019529743	0.151557376188122	0.0187947728113818	-0.452403471246905	-0.464707725272463	-0.431525929726702
E_38_2	0.61876628864763	0.740955266520546	1	-0.417080749552383	-0.453916479878039	-0.407760871579984	0.145690396206643	0.162543601502283	0.0704199858725733	-0.479814732735438	-0.496267561331452	-0.468692619906985
E_51_1	-0.29716650810189	-0.438575480374708	-0.417080749552383	1	0.526771788149902	0.579398550951948	-0.40052230042113	-0.369130741511256	-0.322797018834134	0.0820207957895389	0.0938702736912029	0.00329021118664861
E_51_2	-0.378859414158434	-0.465798965741939	-0.453916479878039	0.526771788149902	1	0.484174418038654	-0.424873832888172	-0.427928165464258	-0.340215815882534	0.180980572743201	0.179235284691116	0.158930329136444
E_51_0	-0.260860338321667	-0.410234706608293	-0.407760871579984	0.579398550951948	0.484174418038654	1	-0.320291806272715	-0.28458130557458	-0.25095016970108	-0.00530195162647488	0.0174729048725113	-0.0666587283183627
C_38_0	0.0321137278631671	0.101490019529743	0.145690396206643	-0.40052230042113	-0.424873832888172	-0.320291806272715	1	0.67203443269884	0.648697976502338	-0.426499580836845	-0.471472451199598	-0.407226632825574
C_38_2	0.116968149839376	0.151557376188122	0.162543601502283	-0.369130741511256	-0.427928165464258	-0.28458130557458	0.67203443269884	1	0.583133992453323	-0.49712499435861	-0.488455007524189	-0.467335372840656
C_38_1	-0.0743152195819387	0.0187947728113818	0.0704199858725733	-0.322797018834134	-0.340215815882534	-0.25095016970108	0.648697976502338	0.583133992453323	1	-0.386637849614021	-0.424668321514278	-0.343816651761322
C_51_2	-0.466417725889385	-0.452403471246905	-0.479814732735438	0.0820207957895389	0.180980572743201	-0.00530195162647488	-0.426499580836845	-0.49712499435861	-0.386637849614021	1	0.623560669817219	0.638043470834413
C_51_0	-0.45639557772794	-0.464707725272463	-0.496267561331452	0.0938702736912029	0.179235284691116	0.0174729048725113	-0.471472451199598	-0.488455007524189	-0.424668321514278	0.623560669817219	1	0.714167932381125
C_51_1	-0.50955587430612	-0.431525929726702	-0.468692619906985	0.00329021118664861	0.158930329136444	-0.0666587283183627	-0.407226632825574	-0.467335372840656	-0.343816651761322	0.638043470834413	0.714167932381125	1
