C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105330701|XLOC_001017|cathepsin_L1	1.15489023652757	0.338151159420166	-1.21411883203201	-0.278922563915718
LOC105331753|XLOC_002036|cathepsin_L1	0.712094004016553	-0.0239952377504588	0.717931408110488	-1.40603017437659
LOC105344505|XLOC_004348|calnexin-like	-0.88106212518948	-0.478700682401157	-0.0515889448080607	1.41135175239869
LOC105329842|XLOC_006665|vesicle-trafficking_protein_SEC22b	-0.201147833484698	1.46848170877627	-0.62957766245531	-0.637756212836256
LOC105324874|XLOC_018942|macrophage_mannose_receptor_1	1.1291269006582	0.510422985004152	-0.574337675080574	-1.06521221058177
LOC105345667|XLOC_025142|cytoplasmic_dynein_1_heavy_chain_1	0.291189417715846	1.24695606977358	-0.471277921154489	-1.06686756633494
LOC105321031|XLOC_027672|ras-related_C3_botulinum_toxin_substrate_1	0.0654217908855856	-1.29190153207274	0.0772435352823189	1.14923620590483
LOC105336087|XLOC_034425|lysosome-associated_membrane_glycoprotein_1-like	0.225918320569253	1.17473330202078	-0.158085044834928	-1.24256657775511
LOC117686095|XLOC_036214|V-type_proton_ATPase_subunit_E-like	-0.146713106448062	-1.34938408645722	0.609332255845574	0.886764937059714
