E_38	E_51	C_38	C_51
XLOC_010716-LOC105333868-CA14	0.805069786988291	-0.183563791389439	1.16852398550087	-1.79002998109973
XLOC_025957-LOC105342593-CA2	-0.0938426436236881	0.211933725708288	-0.189456925875234	0.071365843790641
XLOC_008024-LOC105327172-nacrein	-0.924136393003725	-0.0120325374585448	-0.131730932877158	1.06789986333943
XLOC_033926-LOC105335878-nacrein	0.888437931175044	-0.0776256147379399	-0.310842200479966	-0.499970115957131
XLOC_018325-LOC105322241	0.120027658977767	0.12918069486431	-1.53231979599535	1.28311144215327
