ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105330701|XLOC_001017|cathepsin_L1	3672.09	4749.95	7047.72	5629.1
LOC105331753|XLOC_002036|cathepsin_L1	7656.6	3484	7640.05	5815.56
LOC105344505|XLOC_004348|calnexin-like	266.875	409.614	209.259	235.469
LOC105329842|XLOC_006665|vesicle-trafficking_protein_SEC22b	434.81	433.609	502.592	883.595
LOC105324874|XLOC_018942|macrophage_mannose_receptor_1	2788.99	2272.01	5680.47	4387.16
LOC105345667|XLOC_025142|cytoplasmic_dynein_1_heavy_chain_1	295.921	179.088	562.173	1255.38
LOC105321031|XLOC_027672|ras-related_C3_botulinum_toxin_substrate_1	89.9503	153.034	89.4234	45.4051
LOC105336087|XLOC_034425|lysosome-associated_membrane_glycoprotein_1-like	2567.39	1527.73	3085.37	4858.48
LOC117686095|XLOC_036214|V-type_proton_ATPase_subunit_E-like	1034.41	1141.62	790.598	515.431
