C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105322241|XLOC_018325|uncharacterized	-1.27634024949063	1.16682968929533	0.0131153814904878	0.0963951787048148
LOC105327172|XLOC_008024|nacrein-like	-0.770196865016293	1.40709822425982	-0.653151819223066	0.0162504599795467
LOC105333868|XLOC_010716|carbonic_anhydrase_14-like	0.601776773727877	-1.27333262807225	0.964663886681614	-0.293108032337242
LOC105335878|XLOC_033926|nacrein-like	-1.35017712639009	0.483350274725243	0.966189102788704	-0.0993622511238613
LOC105342593|XLOC_025957|carbonic_anhydrase_2	-1.24240010645983	1.11564508337968	-0.255796896473271	0.382551919553414
