C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105320752|XLOC_002437|beta-1,3-galactosyl-O-glycosyl-glycoprotein_beta-1,6-N-acetylglucosaminyltransferase-like	0.659014281527484	0.550127373187252	0.270657222761501	-1.47979887747624
LOC105325334|XLOC_008923|uncharacterized	0.126971202317037	-1.42358841611869	0.406786107212442	0.889831106589212
LOC105332676|XLOC_017895|extracellular_sulfatase_Sulf-1	-1.45465096269326	0.542514761630683	0.750747659971649	0.161388541090931
LOC105324557|XLOC_023112|beta-hexosaminidase_subunit_beta	0.0125320361477612	1.05435878477389	0.278663722955571	-1.34555454387723
LOC105322577|XLOC_034766|carbohydrate_sulfotransferase_15	1.02739540333765	0.685247952979725	-0.791822472083127	-0.920820884234242
LOC105340763|XLOC_037785|beta-galactosidase	0.77470460218039	0.635692927552681	0.00230271402995586	-1.41270024376303
