C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105320752|XLOC_002437|beta-1,3-galactosyl-O-glycosyl-glycoprotein_beta-1,6-N-acetylglucosaminyltransferase-like	0.659014281527484	0.550127373187252	0.270657222761501	-1.47979887747624
LOC105326801|XLOC_039145|mucin-19	-0.0414760222901523	0.026918780257363	1.2315026940922	-1.21694545205941
LOC105327860|XLOC_012807|mucin-2-like	-1.43760780359538	0.854684114670852	0.16320652563245	0.41971716329208
LOC105329356|XLOC_000492|mucin-5AC	0.637332724796461	0.125977250965624	-1.45091072684009	0.687600751078003
LOC105330637|XLOC_033802|mucin-5AC	1.27718102154051	-0.515411501922675	0.256693949603959	-1.01846346922179
LOC105330676|XLOC_035266|glycoprotein-N-acetylgalactosamine_3-beta-galactosyltransferase_1	1.25977486514286	-0.333197405108825	-1.12384678335581	0.197269323321777
LOC105331815|XLOC_003544|integumentary_mucin_C.1	1.07699156045892	-0.800972036198957	0.623711836303853	-0.899731360563821
LOC105333069|XLOC_032197|mucin-5AC	0.91884992135364	-0.219348526512092	0.615378813384056	-1.31488020822561
LOC105333069|XLOC_032199|mucin-5AC	1.17929726597701	-0.614736605929355	0.449837315697434	-1.01439797574509
LOC105333069|XLOC_032201|mucin-5AC	1.24652965993907	-0.362884864110802	0.237907077573836	-1.1215518734021
LOC105345014|XLOC_007869|mucin-22	1.16364852337231	-1.22545201301952	0.297622237262382	-0.235818747615177
LOC117688920|XLOC_023507|mucin-5AC-like	0.923836964292375	-0.959454287442374	0.800540555923668	-0.764923232773669
LOC117688920|XLOC_023508|mucin-5AC-like	1.02923031933921	-1.2617470283066	0.517286642973335	-0.284769934005942
