tracking_id	E_38_0	E_38_1	E_38_2	E_51_1	E_51_2	E_51_0	C_38_0	C_38_2	C_38_1	C_51_2	C_51_0	C_51_1
XLOC_003562	560.145	537.065	476.011	609.348	584.871	678.539	419.063	491.846	421.953	551.304	667.883	557.78
XLOC_003563	19.7698	39.873	43.9257	36.9663	52.0103	34.9414	45.513	45.7994	41.5656	59.0683	89.414	102.449
XLOC_003564	26.3598	31.7356	27.7897	35.7738	20.6079	20.2885	31.7732	21.9041	21.4126	33.5878	38.8756	66.1652
XLOC_003565	99.9474	69.1674	95.0229	102.552	75.5622	125.113	79.0037	93.5901	68.0164	142.459	145.395	167.192
XLOC_003584	0	0	0	1.19246	4.90664	7.88999	0	0	0	0	0	2.13436
XLOC_003585	0	0	0	11.9246	2.94398	7.88999	1.71747	2.98692	5.03825	3.4746	0.777513	2.13436
XLOC_003586	9.88491	14.6472	19.7217	38.1588	24.5332	33.8142	34.3495	28.8735	34.0082	30.1132	23.3254	15.652
XLOC_003587	3.29497	4.06867	3.58577	27.4266	34.3464	20.2885	19.7509	3.98256	18.8934	41.6952	24.8804	34.8612
XLOC_003596	46.1296	44.7554	27.7897	31.004	13.7386	10.1443	63.5465	55.7558	61.7186	24.3222	20.9928	19.9207
XLOC_003598	69.1944	111.482	77.9905	32.1965	52.0103	55.2299	86.7324	83.6337	120.918	54.4355	44.3182	40.5529
XLOC_003621	6.58994	5.69614	5.37865	0	0	0	0	0.995639	0	0	0.777513	0.711454
XLOC_003629	23.0648	73.2361	52.8901	27.4266	28.4585	24.7971	60.1115	33.8517	79.3524	44.0116	30.323	60.4736
XLOC_003633	2624.99	2088.86	2216.9	876.459	632.956	1199.28	3226.27	3350.33	2424.66	243.222	218.481	219.128
XLOC_003639	26.3598	27.667	26.8933	9.53969	8.83194	22.5428	88.4498	68.6991	76.8333	2.3164	5.44259	5.69163
XLOC_003640	24.1631	19.5296	28.6862	16.6945	7.85062	14.6528	72.1338	70.6904	66.7568	1.1582	3.11005	1.42291
XLOC_003651	9.88491	28.4807	40.3399	17.8869	29.4398	13.5257	49.8067	28.8735	41.5656	24.3222	28.768	24.9009
XLOC_003657	1.09832	6.50987	0	0	0	0	1.71747	0.995639	0	0	0	1.42291
XLOC_003663	101.046	78.9322	85.162	40.5437	39.2531	42.8314	89.3086	100.56	96.9863	41.6952	59.8685	39.8414
XLOC_003666	19.7698	21.9708	20.6182	8.34723	1.96265	7.88999	36.0669	30.8648	23.9317	10.4238	6.2201	2.13436
XLOC_003670	28.5564	47.1966	48.4079	10.7322	19.6265	18.0343	63.5465	37.8343	66.7568	24.3222	20.9928	25.6123
XLOC_003682	1163.12	884.529	822.038	944.429	648.657	795.762	780.591	643.183	768.333	605.739	509.271	540.705
XLOC_003712	16.4748	42.3142	34.9613	13.1171	24.5332	20.2885	21.4684	26.8823	36.5273	35.9042	39.6531	49.8018
XLOC_003713	3.29497	0.813734	0.896442	1.19246	0	3.38142	0	0	0	2.3164	6.2201	1.42291
XLOC_003714	82.3742	65.0987	51.9937	95.3969	56.917	71.0099	47.2305	35.843	39.0464	46.328	75.4187	54.7819
XLOC_003715	97.7508	74.0498	85.162	134.748	125.61	129.621	69.5576	70.6904	83.1311	88.0233	119.737	86.0859
XLOC_003716	401.986	306.778	354.095	523.49	413.139	517.358	277.372	348.474	293.478	326.613	373.984	341.498
XLOC_003720	64.8011	67.5399	76.1976	40.5437	63.7863	56.3571	46.3718	44.8038	71.7951	27.7968	29.5455	52.6476
XLOC_003790	27.4581	28.4807	34.9613	21.4643	13.7386	13.5257	22.3271	15.9302	23.9317	11.582	14.7727	9.2489
XLOC_003791	49.4245	30.9219	22.4111	16.6945	21.5892	24.7971	29.197	30.8648	20.153	13.8984	18.6603	9.2489
XLOC_003792	69.1944	43.1279	53.7865	28.6191	16.6826	27.0514	44.6543	71.686	35.2678	12.7402	31.878	17.7863
XLOC_003793	3.29497	0	2.68933	0	0	0	0.858736	0.995639	2.51913	1.1582	6.99761	0.711454
XLOC_003794	51.6212	65.9125	71.7154	48.8909	44.1597	64.247	97.0372	85.625	78.0929	60.2265	64.5336	60.4736
XLOC_003798	48.3262	42.3142	43.0292	52.4683	58.8796	82.2813	40.3606	37.8343	45.3443	49.8026	44.3182	46.2445
XLOC_003818	14.2782	37.4318	41.2364	22.6568	24.5332	32.6871	68.6989	43.8081	41.5656	50.9608	41.9857	40.5529
