ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105334160|XLOC_000824|fibropellin-1	919.385	423.947	1313.3	805.877
LOC105334536|XLOC_038929|sarcoplasmic_calcium-binding_protein	9882.41	4664.06	12848.9	9122.52
LOC105334618|XLOC_027684|uncharacterized	189.45	53.4162	78.2247	30.5236
LOC105334632|XLOC_030407|uncharacterized	253.291	195.742	191.628	99.5403
LOC105335506|XLOC_028547|cadherin-87A	145.014	47.3568	41.4353	137.986
LOC105335615|XLOC_010660|uncharacterized	230.978	42.2291	142.201	50.4334
LOC105335651|XLOC_025331|1-phosphatidylinositol_4,5-bisphosphate_phosphodiesterase_beta-1	373.886	589.025	318.677	421.528
LOC105335874|XLOC_004728|protocadherin_Fat_1	81.7419	72.4352	64.6944	44.7002
LOC105336047|XLOC_026656|uncharacterized	607.368	610.895	3280.29	0
LOC105336473|XLOC_031675|uncharacterized	1841.8	726.067	2367.65	1342.86
LOC105336475|XLOC_028977|uncharacterized	1036.39	694.371	1156.32	1109.23
LOC105336972|XLOC_019927|low-density_lipoprotein_receptor-related_protein_4	0	9.00893	12.4109	28.6928
LOC105336998|XLOC_023306|centrin-3	572.886	420.966	311.848	238.128
LOC105337008|XLOC_023318|calpain-B	753.725	460.692	538.338	441.818
LOC105337196|XLOC_031453|EF-hand_calcium-binding_domain-containing_protein_6	543.556	375.548	233.568	226.413
LOC105337853|XLOC_021365|uncharacterized	240.961	219.828	981.048	280.714
LOC105337955|XLOC_001855|neurogenic_locus_Notch_protein	268.717	43.7856	217.059	57.8106
LOC105338038|XLOC_024917|fibrillin-1	2566.96	1518.73	4077.76	1888.66
LOC105338115|XLOC_009932|synaptotagmin-1	123.383	55.417	184.853	114.411
LOC105338470|XLOC_033691|cohesin_subunit_SA-1	178.216	111.11	693.301	113.843
LOC105338472|XLOC_033689|myosin,_essential_light_chain,_adductor_muscle	1834.31	1060.3	2971.15	863.867
LOC105338532|XLOC_029521|annexin_B9	351.218	197.299	316.792	316.045
LOC105338609|XLOC_003295|uncharacterized	22033.8	6394.58	34144	9184.06
LOC105338610|XLOC_006193|uncharacterized	13963.4	2541.5	12326.4	3233.94
LOC105338611|XLOC_006192|uncharacterized	34669.9	10756.5	38527	18246.2
LOC105339011|XLOC_007300|putative_protocadherin_beta-18	136.315	99.6694	165.591	205.085
LOC105339722|XLOC_021898|multiple_C2_and_transmembrane_domain-containing_protein_1	9747.26	11070.5	12082.7	7400.18
LOC105339844|XLOC_030499|very_low-density_lipoprotein_receptor	1510.77	1741.19	1389.93	2242.39
LOC105339995|XLOC_038003|uncharacterized	0	29.0075	84.1498	65.7063
LOC105340223|XLOC_014020|serine-aspartate_repeat-containing_protein_I	869.6	973.275	1015.61	1607.73
LOC105340223|XLOC_014026|serine-aspartate_repeat-containing_protein_I	490.715	815.65	438.984	665.359
LOC105340356|XLOC_021470|follistatin-A	31.744	384.396	484.241	742.554
LOC105340356|XLOC_021471|follistatin-A	0	63.8356	389.076	414.155
LOC105341028|XLOC_003066|uncharacterized	3588.14	2123.51	4538.06	6938.66
LOC105341028|XLOC_003074|uncharacterized	1457.81	1234.79	1958.97	188.484
LOC105341089|XLOC_030015|serine_protease_inhibitor_dipetalogastin	759.749	495.077	4912.96	792.849
LOC105341103|XLOC_027068|calcium_uptake_protein_1,_mitochondrial	360.253	435.561	230.031	280.278
LOC105342123|XLOC_032264|mitochondrial_proton/calcium_exchanger_protein	376.231	2858.11	650.301	1523.62
LOC105342123|XLOC_032265|mitochondrial_proton/calcium_exchanger_protein	80.2163	171.787	59.616	84.9192
LOC105342224|XLOC_038897|caltractin	25119.3	12265.6	16511.5	8388.52
LOC105342681|XLOC_020239|1-phosphatidylinositol_4,5-bisphosphate_phosphodiesterase_eta-2	570.866	344.693	837.478	524.693
LOC105342898|XLOC_018820|extended_synaptotagmin-2	7136.15	5077.76	5197.76	3389.25
LOC105342977|XLOC_038572|uncharacterized	729.645	187.121	927.199	129.07
LOC105343409|XLOC_024747|1-phosphatidylinositol_4,5-bisphosphate_phosphodiesterase_beta-4	13.9222	0	0	146.067
LOC105343409|XLOC_024752|1-phosphatidylinositol_4,5-bisphosphate_phosphodiesterase_beta-4	28.17	211.983	345.145	182.292
LOC105344364|XLOC_004750|von_Willebrand_factor_D_and_EGF_domain-containing_protein	302.68	149.963	190.193	101.555
LOC105344505|XLOC_004347|calnexin-like	163.5	212.518	132.659	216.297
LOC105344505|XLOC_004348|calnexin-like	266.875	409.614	209.259	235.469
LOC105344582|XLOC_035076|uncharacterized	274.999	683.76	242.816	404.16
LOC105344582|XLOC_035080|uncharacterized	206.761	255.144	154.176	306.983
LOC105345409|XLOC_005232|uncharacterized	186.831	24.2962	194.725	37.4715
LOC105345652|XLOC_002895|uncharacterized	328.273	129.003	411.956	102.465
LOC105346053|XLOC_019959|protein_eyes_shut	844.713	7.67215	852.209	158.863
LOC105346089|XLOC_021884|mammalian_ependymin-related_protein_1-like	181.821	216.682	343.447	186.629
LOC105346939|XLOC_031469|protocadherin_Fat_4	1345.16	2556.52	1840.17	3779.03
LOC105347107|XLOC_002908|protocadherin_beta-15	284.38	60.111	0	392.653
LOC105347203|XLOC_031188|SPARC	519.272	307.504	539.046	249.764
LOC105348537|XLOC_026129|annexin_A7	4972.43	5942.83	4473.1	3623.39
LOC105348746|XLOC_005423|leucine-rich_repeat-containing_protein_74A	139.142	44.4093	87.5407	67.6283
LOC105349106|XLOC_035702|uncharacterized	1542.05	1022.88	1240.87	550.561
LOC105349178|XLOC_031598|annexin_A7	793.478	801.82	1577.07	512.461
LOC105349178|XLOC_031599|annexin_A7	364.917	476.717	957.702	432.221
LOC109617191|XLOC_034280|fibrillin-2-like	98.0575	356.147	216.439	19.9143
LOC109617191|XLOC_034281|fibrillin-2-like	373.739	216.983	467.068	181.064
LOC109617191|XLOC_034284|fibrillin-2-like	492.98	98.827	603.114	338.783
LOC117681096|XLOC_004110|uncharacterized	8447.45	3705.74	8728.18	2196.59
LOC117681096|XLOC_004113|uncharacterized	3050.71	642.07	3799.46	804.513
LOC117681097|XLOC_004113|uncharacterized	3050.71	642.07	3799.46	804.513
LOC117684340|XLOC_017820|uncharacterized	720.945	247.564	1147.42	916.338
LOC117688268|XLOC_000473|NADPH_oxidase_5-like	596.465	0	89.6809	90.3609
LOC117688824|XLOC_023420|uncharacterized	76.6198	552.841	105.409	191.542
LOC117689712|XLOC_035206|translationally-controlled_tumor_protein_homolog	9333.71	6901.43	11244.7	6453.87
