C_38_FPKM	C_51_FPKM	E_38_FPKM	E_51_FPKM
LOC105317552|XLOC_014729|uncharacterized	0.359511139041206	-0.911657645222127	1.24746380190938	-0.69531729572846
LOC105317660|XLOC_009813|peritrophin-44	0.502516905843973	-1.28662662342269	1.0184152449251	-0.234305527346384
LOC105317662|XLOC_009815|chondroitin_proteoglycan_2	-0.0896546057913246	-1.20125994168282	1.24366560689886	0.0472489405752825
LOC105317748|XLOC_015124|uncharacterized	0.793929598517819	0.113094404161688	0.532778822308692	-1.4398028249882
LOC105319624|XLOC_007180|uncharacterized	0.422180329661738	-0.78254603740528	1.2156667376018	-0.855301029858258
LOC105321216|XLOC_003388|uncharacterized	0.756784951665399	-1.36230180714128	0.743260977140152	-0.137744121664269
LOC105321588|XLOC_010389|uncharacterized	0.813242595058371	-0.320805909096098	0.782001746647296	-1.27443843260957
LOC105325752|XLOC_028644|acidic_mammalian_chitinase	0.584182434953786	0.485610358690473	0.427050886441717	-1.49684368008597
LOC105326593|XLOC_017246|uncharacterized	0.547281316361311	-0.699090068978581	1.12476883073822	-0.972960078120951
LOC105326594|XLOC_017248|protein_PIF	0.885804837043497	0.142953942629044	0.398238177269602	-1.42699695694214
LOC105327213|XLOC_035266|uncharacterized	1.25977486514286	-0.333197405108825	-1.12384678335581	0.197269323321777
LOC105327324|XLOC_006245|uncharacterized	0.212516488377488	-1.017655361701	1.29562318764783	-0.490484314324321
LOC105327860|XLOC_012807|mucin-2-like	-1.43760780359538	0.854684114670852	0.16320652563245	0.41971716329208
LOC105327928|XLOC_005754|uncharacterized	-0.0451167545425938	0.257160880179227	1.10007731214141	-1.31212143777804
LOC105331104|XLOC_004280|uncharacterized	0.124792928364612	0.849801600759967	-1.43264024895372	0.458045719829141
LOC105332539|XLOC_024256|location_of_vulva_defective_1	-1.15646902591044	-0.444639158154184	0.497980379851015	1.10312780421361
LOC105332578|XLOC_028638|uncharacterized	-0.00214154621016306	1.33273751518159	-1.07673650546177	-0.253859463509653
LOC105332578|XLOC_028641|uncharacterized	-0.1070660977694	1.44366501799726	-0.593734623420362	-0.742864296807498
LOC105332622|XLOC_028637|acidic_mammalian_chitinase	1.04801122617491	-0.230478695326615	0.461398179182238	-1.27893071003054
LOC105336346|XLOC_017242|sushi,_von_Willebrand_factor_type_A,_EGF_and_pentraxin_domain-containing_protein_1-like	1.3749879448154	-0.740888633700783	0.106890915683111	-0.740990226797727
LOC105336368|XLOC_019622|protein_PIF-like	1.21346129434074	-0.220716070949268	0.205775721592301	-1.19852094498377
LOC105336951|XLOC_013869|uncharacterized	-0.422273511011326	-0.549299086570081	1.49770994690006	-0.526137349318657
LOC105343966|XLOC_011042|uncharacterized	1.13833088601967	-0.830714389116793	0.541462361838034	-0.849078858740911
LOC105345050|XLOC_005062|uncharacterized	0.0395140717892926	-0.852321442994004	-0.578903090128153	1.39171046133286
LOC105345527|XLOC_038047|uncharacterized	1.40144411463951	-0.788254701584167	0.0300121047753383	-0.643201517830681
LOC105345528|XLOC_038044|uncharacterized	1.29424606588266	-0.629963124440149	0.262601191968721	-0.926884133411226
LOC105346858|XLOC_005167|uncharacterized	0.69258233175098	-0.941276870206511	1.01972514494053	-0.771030606484999
LOC109617191|XLOC_034280|fibrillin-2-like	0.530368331136975	-1.35731837482801	-0.103474238382669	0.930424282073701
LOC109617191|XLOC_034281|fibrillin-2-like	1.08568764505123	-1.03808988456894	0.585511777608068	-0.633109538090358
LOC109617191|XLOC_034284|fibrillin-2-like	0.798590423103008	0.0852882743862862	0.549110213699807	-1.4329889111891
LOC117682760|XLOC_016438|uncharacterized	-0.614008685263879	-0.538339285540936	1.48974697787614	-0.33739900707132
